plant_id,plant_name,place_year,emp,source,snippet,reason
DE_BMW_EISENACH,BMW Group Plant Eisenach,2015.0,7800.0,base,up. Es verbindet höchste Ingenieurskunst und Innovationskraft mit der Leidenschaft seiner rund 7.800 Mitarbeiter aus über 50 Nationen. Bereits seit 1922 werden im BMW Group Werk München Fahrzeuge und Motoren produziert. Bro,city_mismatch
DE_BMW_EISENACH,BMW Group Plant Eisenach,2026.0,6000.0,base,zwerks der BMW Group. Informationen für Anwohner Zahlen und Fakten. Mitarbeiter > 6.000 > 6.000 Mitarbeitende im Werk München. Fahrzeuge > 170.000 > 170.000 Produzierte Fahrzeuge in 2025. Eröffnung 1922 1922,city_mismatch
DE_BMW_IRLBACH_STRASSKIRCHEN,BMW Group Plant Irlbach-Straßkirchen,2015.0,7800.0,base,up. Es verbindet höchste Ingenieurskunst und Innovationskraft mit der Leidenschaft seiner rund 7.800 Mitarbeiter aus über 50 Nationen. Bereits seit 1922 werden im BMW Group Werk München Fahrzeuge und Motoren produziert. Bro,city_mismatch
DE_BMW_IRLBACH_STRASSKIRCHEN,BMW Group Plant Irlbach-Straßkirchen,2026.0,6000.0,base,zwerks der BMW Group. Informationen für Anwohner Zahlen und Fakten. Mitarbeiter > 6.000 > 6.000 Mitarbeitende im Werk München. Fahrzeuge > 170.000 > 170.000 Produzierte Fahrzeuge in 2025. Eröffnung 1922 1922,city_mismatch
DE_BMW_REGENSBURG,BMW Group Plant Regensburg,2015.0,7800.0,base,up. Es verbindet höchste Ingenieurskunst und Innovationskraft mit der Leidenschaft seiner rund 7.800 Mitarbeiter aus über 50 Nationen. Bereits seit 1922 werden im BMW Group Werk München Fahrzeuge und Motoren produziert. Bro,city_mismatch
DE_BMW_WACKERSDORF,BMW Group Plant Wackersdorf,2015.0,7800.0,base,up. Es verbindet höchste Ingenieurskunst und Innovationskraft mit der Leidenschaft seiner rund 7.800 Mitarbeiter aus über 50 Nationen. Bereits seit 1922 werden im BMW Group Werk München Fahrzeuge und Motoren produziert. Bro,city_mismatch
DE_BMW_WACKERSDORF,BMW Group Plant Wackersdorf,2026.0,6000.0,base,zwerks der BMW Group. Informationen für Anwohner Zahlen und Fakten. Mitarbeiter > 6.000 > 6.000 Mitarbeitende im Werk München. Fahrzeuge > 170.000 > 170.000 Produzierte Fahrzeuge in 2025. Eröffnung 1922 1922,city_mismatch
HU_BMW_DEBRECEN,BMW Group Plant Debrecen,2015.0,7800.0,base,up. Es verbindet höchste Ingenieurskunst und Innovationskraft mit der Leidenschaft seiner rund 7.800 Mitarbeiter aus über 50 Nationen. Bereits seit 1922 werden im BMW Group Werk München Fahrzeuge und Motoren produziert. Bro,city_mismatch
HU_BMW_DEBRECEN,BMW Group Plant Debrecen,2026.0,6000.0,base,zwerks der BMW Group. Informationen für Anwohner Zahlen und Fakten. Mitarbeiter > 6.000 > 6.000 Mitarbeitende im Werk München. Fahrzeuge > 170.000 > 170.000 Produzierte Fahrzeuge in 2025. Eröffnung 1922 1922,city_mismatch
DE_BMW_EISENACH,BMW Group Plant Eisenach,2015.0,7800.0,filtered,up. Es verbindet höchste Ingenieurskunst und Innovationskraft mit der Leidenschaft seiner rund 7.800 Mitarbeiter aus über 50 Nationen. Bereits seit 1922 werden im BMW Group Werk München Fahrzeuge und Motoren produziert. Bro,city_mismatch
DE_BMW_EISENACH,BMW Group Plant Eisenach,2026.0,6000.0,filtered,zwerks der BMW Group. Informationen für Anwohner Zahlen und Fakten. Mitarbeiter > 6.000 > 6.000 Mitarbeitende im Werk München. Fahrzeuge > 170.000 > 170.000 Produzierte Fahrzeuge in 2025. Eröffnung 1922 1922,city_mismatch
DE_BMW_IRLBACH_STRASSKIRCHEN,BMW Group Plant Irlbach-Straßkirchen,2015.0,7800.0,filtered,up. Es verbindet höchste Ingenieurskunst und Innovationskraft mit der Leidenschaft seiner rund 7.800 Mitarbeiter aus über 50 Nationen. Bereits seit 1922 werden im BMW Group Werk München Fahrzeuge und Motoren produziert. Bro,city_mismatch
DE_BMW_IRLBACH_STRASSKIRCHEN,BMW Group Plant Irlbach-Straßkirchen,2026.0,6000.0,filtered,zwerks der BMW Group. Informationen für Anwohner Zahlen und Fakten. Mitarbeiter > 6.000 > 6.000 Mitarbeitende im Werk München. Fahrzeuge > 170.000 > 170.000 Produzierte Fahrzeuge in 2025. Eröffnung 1922 1922,city_mismatch
DE_BMW_REGENSBURG,BMW Group Plant Regensburg,2015.0,7800.0,filtered,up. Es verbindet höchste Ingenieurskunst und Innovationskraft mit der Leidenschaft seiner rund 7.800 Mitarbeiter aus über 50 Nationen. Bereits seit 1922 werden im BMW Group Werk München Fahrzeuge und Motoren produziert. Bro,city_mismatch
DE_BMW_WACKERSDORF,BMW Group Plant Wackersdorf,2015.0,7800.0,filtered,up. Es verbindet höchste Ingenieurskunst und Innovationskraft mit der Leidenschaft seiner rund 7.800 Mitarbeiter aus über 50 Nationen. Bereits seit 1922 werden im BMW Group Werk München Fahrzeuge und Motoren produziert. Bro,city_mismatch
DE_BMW_WACKERSDORF,BMW Group Plant Wackersdorf,2026.0,6000.0,filtered,zwerks der BMW Group. Informationen für Anwohner Zahlen und Fakten. Mitarbeiter > 6.000 > 6.000 Mitarbeitende im Werk München. Fahrzeuge > 170.000 > 170.000 Produzierte Fahrzeuge in 2025. Eröffnung 1922 1922,city_mismatch
HU_BMW_DEBRECEN,BMW Group Plant Debrecen,2015.0,7800.0,filtered,up. Es verbindet höchste Ingenieurskunst und Innovationskraft mit der Leidenschaft seiner rund 7.800 Mitarbeiter aus über 50 Nationen. Bereits seit 1922 werden im BMW Group Werk München Fahrzeuge und Motoren produziert. Bro,city_mismatch
HU_BMW_DEBRECEN,BMW Group Plant Debrecen,2026.0,6000.0,filtered,zwerks der BMW Group. Informationen für Anwohner Zahlen und Fakten. Mitarbeiter > 6.000 > 6.000 Mitarbeitende im Werk München. Fahrzeuge > 170.000 > 170.000 Produzierte Fahrzeuge in 2025. Eröffnung 1922 1922,city_mismatch
DE_BMW_EISENACH,BMW Group Plant Eisenach,2015.0,7800.0,gemini,up. Es verbindet höchste Ingenieurskunst und Innovationskraft mit der Leidenschaft seiner rund 7.800 Mitarbeiter aus über 50 Nationen. Bereits seit 1922 werden im BMW Group Werk München Fahrzeuge und Motoren produziert. Bro,city_mismatch
